abcd | ef | ghij || klmnopqrs ||
-----|----|------||-----------||
0000 | 00 | 0000 || 000000000 || 00+00 = 00
0000 | 00 | 0001 || 000000001 || 00+01 = 01
0000 | 00 | 0010 || 000000010 || 00+02 = 02
0000 | 00 | 0011 || 000000011 || 00+03 = 03
0000 | 00 | 0100 || 000000100 || 00+04 = 04
0000 | 00 | 0101 || 000000101 || 00+05 = 05
0000 | 00 | 0110 || 000000110 || 00+06 = 06
0000 | 00 | 0111 || 000000111 || 00+07 = 07
0000 | 00 | 1000 || 000001000 || 00+08 = 08
0000 | 00 | 1001 || 000001001 || 00+09 = 09
0000 | 00 | 1010 || 000001010 || 00+10 = 10
0000 | 00 | 1011 || 000001011 || 00+11 = 11
0000 | 00 | 1100 || 000001100 || 00+12 = 12
0000 | 00 | 1101 || 000001101 || 00+13 = 13
0000 | 00 | 1110 || 000001110 || 00+14 = 14
0000 | 00 | 1111 || 000001111 || 00+15 = 15
0001 | 00 | 0000 || 000000001 || 01+00 = 01
0001 | 00 | 0001 || 000000010 || 01+01 = 02
0001 | 00 | 0010 || 000000011 || 01+02 = 03
0001 | 00 | 0011 || 000000100 || 01+03 = 04
0001 | 00 | 0100 || 000000101 || 01+04 = 05
0001 | 00 | 0101 || 000000110 || 01+05 = 06
0001 | 00 | 0110 || 000000111 || 01+06 = 07
0001 | 00 | 0111 || 000001000 || 01+07 = 08
0001 | 00 | 1000 || 000001001 || 01+08 = 09
0001 | 00 | 1001 || 000001010 || 01+09 = 10
0001 | 00 | 1010 || 000001011 || 01+10 = 11
0001 | 00 | 1011 || 000001100 || 01+11 = 12
0001 | 00 | 1100 || 000001101 || 01+12 = 13
0001 | 00 | 1101 || 000001110 || 01+13 = 14
0001 | 00 | 1110 || 000001111 || 01+14 = 15
0001 | 00 | 1111 || 000010000 || 01+15 = 16
0010 | 00 | 0000 || 000000010 || 02+00 = 02
0010 | 00 | 0001 || 000000011 || 02+01 = 03
0010 | 00 | 0010 || 000000100 || 02+02 = 04
0010 | 00 | 0011 || 000000101 || 02+03 = 05
0010 | 00 | 0100 || 000000110 || 02+04 = 06
0010 | 00 | 0101 || 000000111 || 02+05 = 07
0010 | 00 | 0110 || 000001000 || 02+06 = 08
0010 | 00 | 0111 || 000001001 || 02+07 = 09
0010 | 00 | 1000 || 000001010 || 02+08 = 10
0010 | 00 | 1001 || 000001011 || 02+09 = 11
0010 | 00 | 1010 || 000001100 || 02+10 = 12
0010 | 00 | 1011 || 000001101 || 02+11 = 13
0010 | 00 | 1100 || 000001110 || 02+12 = 14
0010 | 00 | 1101 || 000001111 || 02+13 = 15
0010 | 00 | 1110 || 000010000 || 02+14 = 16
0010 | 00 | 1111 || 000010001 || 02+15 = 17
0011 | 00 | 0000 || 000000011 || 03+00 = 03
0011 | 00 | 0001 || 000000100 || 03+01 = 04
0011 | 00 | 0010 || 000000101 || 03+02 = 05
0011 | 00 | 0011 || 000000110 || 03+03 = 06
0011 | 00 | 0100 || 000000111 || 03+04 = 07
0011 | 00 | 0101 || 000001000 || 03+05 = 08
0011 | 00 | 0110 || 000001001 || 03+06 = 09
0011 | 00 | 0111 || 000001010 || 03+07 = 10
0011 | 00 | 1000 || 000001011 || 03+08 = 11
0011 | 00 | 1001 || 000001100 || 03+09 = 12
0011 | 00 | 1010 || 000001101 || 03+10 = 13
0011 | 00 | 1011 || 000001110 || 03+11 = 14
0011 | 00 | 1100 || 000001111 || 03+12 = 15
0011 | 00 | 1101 || 000010000 || 03+13 = 16
0011 | 00 | 1110 || 000010001 || 03+14 = 17
0011 | 00 | 1111 || 000010010 || 03+15 = 18
0100 | 00 | 0000 || 000000100 || 04+00 = 04
0100 | 00 | 0001 || 000000101 || 04+01 = 05
0100 | 00 | 0010 || 000000110 || 04+02 = 06
0100 | 00 | 0011 || 000000111 || 04+03 = 07
0100 | 00 | 0100 || 000001000 || 04+04 = 08
0100 | 00 | 0101 || 000001001 || 04+05 = 09
0100 | 00 | 0110 || 000001010 || 04+06 = 10
0100 | 00 | 0111 || 000001011 || 04+07 = 11
0100 | 00 | 1000 || 000001100 || 04+08 = 12
0100 | 00 | 1001 || 000001101 || 04+09 = 13
0100 | 00 | 1010 || 000001110 || 04+10 = 14
0100 | 00 | 1011 || 000001111 || 04+11 = 15
0100 | 00 | 1100 || 000010000 || 04+12 = 16
0100 | 00 | 1101 || 000010001 || 04+13 = 17
0100 | 00 | 1110 || 000010010 || 04+14 = 18
0100 | 00 | 1111 || 000010011 || 04+15 = 19
0101 | 00 | 0000 || 000000101 || 05+00 = 05
0101 | 00 | 0001 || 000000110 || 05+01 = 06
0101 | 00 | 0010 || 000000111 || 05+02 = 07
0101 | 00 | 0011 || 000001000 || 05+03 = 08
0101 | 00 | 0100 || 000001001 || 05+04 = 09
0101 | 00 | 0101 || 000001010 || 05+05 = 10
0101 | 00 | 0110 || 000001011 || 05+06 = 11
0101 | 00 | 0111 || 000001100 || 05+07 = 12
0101 | 00 | 1000 || 000001101 || 05+08 = 13
0101 | 00 | 1001 || 000001110 || 05+09 = 14
0101 | 00 | 1010 || 000001111 || 05+10 = 15
0101 | 00 | 1011 || 000010000 || 05+11 = 16
0101 | 00 | 1100 || 000010001 || 05+12 = 17
0101 | 00 | 1101 || 000010010 || 05+13 = 18
0101 | 00 | 1110 || 000010011 || 05+14 = 19
0101 | 00 | 1111 || 000010100 || 05+15 = 20
0110 | 00 | 0000 || 000000110 || 06+00 = 06
0110 | 00 | 0001 || 000000111 || 06+01 = 07
0110 | 00 | 0010 || 000001000 || 06+02 = 08
0110 | 00 | 0011 || 000001001 || 06+03 = 09
0110 | 00 | 0100 || 000001010 || 06+04 = 10
0110 | 00 | 0101 || 000001011 || 06+05 = 11
0110 | 00 | 0110 || 000001100 || 06+06 = 12
0110 | 00 | 0111 || 000001101 || 06+07 = 13
0110 | 00 | 1000 || 000001110 || 06+08 = 14
0110 | 00 | 1001 || 000001111 || 06+09 = 15
0110 | 00 | 1010 || 000010000 || 06+10 = 16
0110 | 00 | 1011 || 000010001 || 06+11 = 17
0110 | 00 | 1100 || 000010010 || 06+12 = 18
0110 | 00 | 1101 || 000010011 || 06+13 = 19
0110 | 00 | 1110 || 000010100 || 06+14 = 20
0110 | 00 | 1111 || 000010101 || 06+15 = 21
0111 | 00 | 0000 || 000000111 || 07+00 = 07
0111 | 00 | 0001 || 000001000 || 07+01 = 08
0111 | 00 | 0010 || 000001001 || 07+02 = 09
0111 | 00 | 0011 || 000001010 || 07+03 = 10
0111 | 00 | 0100 || 000001011 || 07+04 = 11
0111 | 00 | 0101 || 000001100 || 07+05 = 12
0111 | 00 | 0110 || 000001101 || 07+06 = 13
0111 | 00 | 0111 || 000001110 || 07+07 = 14
0111 | 00 | 1000 || 000001111 || 07+08 = 15
0111 | 00 | 1001 || 000010000 || 07+09 = 16
0111 | 00 | 1010 || 000010001 || 07+10 = 17
0111 | 00 | 1011 || 000010010 || 07+11 = 18
0111 | 00 | 1100 || 000010011 || 07+12 = 19
0111 | 00 | 1101 || 000010100 || 07+13 = 20
0111 | 00 | 1110 || 000010101 || 07+14 = 21
0111 | 00 | 1111 || 000010110 || 07+15 = 22
1000 | 00 | 0000 || 000001000 || 08+00 = 08
1000 | 00 | 0001 || 000001001 || 08+01 = 09
1000 | 00 | 0010 || 000001010 || 08+02 = 10
1000 | 00 | 0011 || 000001011 || 08+03 = 11
1000 | 00 | 0100 || 000001100 || 08+04 = 12
1000 | 00 | 0101 || 000001101 || 08+05 = 13
1000 | 00 | 0110 || 000001110 || 08+06 = 14
1000 | 00 | 0111 || 000001111 || 08+07 = 15
1000 | 00 | 1000 || 000010000 || 08+08 = 16
1000 | 00 | 1001 || 000010001 || 08+09 = 17
1000 | 00 | 1010 || 000010010 || 08+10 = 18
1000 | 00 | 1011 || 000010011 || 08+11 = 19
1000 | 00 | 1100 || 000010100 || 08+12 = 20
1000 | 00 | 1101 || 000010101 || 08+13 = 21
1000 | 00 | 1110 || 000010110 || 08+14 = 22
